year,period,geo_level,state,state_ansi,crop,data_item,domain,domain_category,yield_bu_per_acre,STATE_FIPS,state_abbr,annual_precip_in,growing_season_precip_in,non_growing_season_precip_in,growing_season_share,growing_season_precip_state_percentile,crop_damage_event_count,crop_damage_usd
2024,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112.0,01,AL,56.40731343283582,28.465223880597016,27.942089552238805,0.5046371143786267,60.0,0.0,0.0
2024,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,225.0,04,AZ,33.07413793103448,3.027241379310345,30.04689655172413,0.0915289579315018,28.000000000000004,0.0,0.0
2024,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.0,05,AR,20.2271875,10.73890625,9.48828125,0.5309144561002365,52.0,1.0,1000.0
2024,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.0,06,CA,52.01375,25.9275,26.08625,0.4984739612121794,56.00000000000001,1.0,10.0
2024,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116.0,08,CO,57.15268656716418,38.43358208955224,18.71910447761194,0.6724720113443172,68.0,18.0,29222000.0
2024,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.0,10,DE,20.903863636363635,6.256590909090908,14.647272727272728,0.2993030866412255,24.0,0.0,0.0
2024,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141.0,12,FL,43.14043478260869,25.374565217391304,17.76586956521739,0.5881851989962005,48.0,9.0,415000000.0
2024,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.0,13,GA,37.11424242424242,26.034141414141413,11.08010101010101,0.7014595937740692,68.0,20.0,1224100200.0
2024,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.0,16,ID,71.60578125,38.04015625,33.565625,0.5312442038330529,88.0,2.0,26000.0
2024,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,217.0,17,IL,45.733125,21.0375,24.695625000000003,0.4600057398220655,24.0,5.0,472000.0
2024,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198.0,18,IN,39.306,20.0596,19.2464,0.5103444766702285,16.0,14.0,61500.0
2024,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,211.0,19,IA,47.68571428571428,21.535714285714285,26.15,0.4516177351707609,40.0,58.0,1391500.0
2024,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.0,20,KS,34.5455421686747,20.769036144578315,13.776506024096385,0.6012074160877208,60.0,13.0,17050000.0
2024,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.0,21,KY,31.36885057471265,24.978045977011494,6.39080459770115,0.7962690860323404,88.0,359.0,1137650.0
2024,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.0,22,LA,57.72268292682927,27.34841463414634,30.374268292682927,0.4737897347705387,32.0,10.0,88000.0
2024,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.0,24,MD,16.648035714285715,10.651428571428571,5.996607142857143,0.6398009203144944,44.0,0.0,0.0
2024,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181.0,26,MI,9.666470588235294,2.154117647058824,7.512352941176471,0.2228442767601777,16.0,0.0,0.0
2024,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0,27,MN,44.806,21.444,23.362,0.4785966165245726,20.0,57.0,1365600.0
2024,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186.0,28,MS,43.36666666666667,21.086190476190477,22.280476190476197,0.4862303722411331,16.0,12.0,135000.0
2024,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183.0,29,MO,13.463333333333331,8.243030303030302,5.220303030303031,0.612257759571451,44.0,45.0,19837000.0
2024,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,85.0,30,MT,43.5008064516129,24.04241935483871,19.458387096774192,0.5526890491462895,52.0,2.0,20000.0
2024,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188.0,31,NE,53.5568,34.1857,19.3711,0.638307367131718,88.0,91.0,192466000.0
2024,YEAR,STATE,NEW JERSEY,34.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0,34,NJ,37.54480519480519,20.838051948051948,16.706753246753248,0.5550182465971394,40.0,0.0,0.0
2024,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0,35,NM,49.02027777777778,8.37111111111111,40.649166666666666,0.1707683328327846,32.0,0.0,0.0
2024,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169.0,36,NY,44.74537313432836,25.165671641791047,19.579701492537318,0.5624195280759455,56.00000000000001,9.0,22000.0
2024,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,87.0,37,NC,57.646,25.97,31.676,0.4505082746417791,64.0,18.0,128000.0
2024,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0,38,ND,52.82108695652174,32.21,20.61108695652174,0.6097943426744096,88.0,27.0,15229250.0
