year,period,geo_level,state,state_ansi,crop,data_item,domain,domain_category,yield_bu_per_acre
2024,YEAR,STATE,ALABAMA,1.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112.0
2024,YEAR,STATE,ARIZONA,4.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,225.0
2024,YEAR,STATE,ARKANSAS,5.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.0
2024,YEAR,STATE,CALIFORNIA,6.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.0
2024,YEAR,STATE,COLORADO,8.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116.0
2024,YEAR,STATE,DELAWARE,10.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.0
2024,YEAR,STATE,FLORIDA,12.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141.0
2024,YEAR,STATE,GEORGIA,13.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163.0
2024,YEAR,STATE,IDAHO,16.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206.0
2024,YEAR,STATE,ILLINOIS,17.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,217.0
2024,YEAR,STATE,INDIANA,18.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198.0
2024,YEAR,STATE,IOWA,19.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,211.0
2024,YEAR,STATE,KANSAS,20.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.0
2024,YEAR,STATE,KENTUCKY,21.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.0
2024,YEAR,STATE,LOUISIANA,22.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185.0
2024,YEAR,STATE,MARYLAND,24.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143.0
2024,YEAR,STATE,MICHIGAN,26.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181.0
2024,YEAR,STATE,MINNESOTA,27.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.0
2024,YEAR,STATE,MISSISSIPPI,28.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186.0
2024,YEAR,STATE,MISSOURI,29.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183.0
2024,YEAR,STATE,MONTANA,30.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,85.0
2024,YEAR,STATE,NEBRASKA,31.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188.0
2024,YEAR,STATE,NEW JERSEY,34.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0
2024,YEAR,STATE,NEW MEXICO,35.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157.0
2024,YEAR,STATE,NEW YORK,36.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169.0
2024,YEAR,STATE,NORTH CAROLINA,37.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,87.0
2024,YEAR,STATE,NORTH DAKOTA,38.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149.0
2024,YEAR,STATE,OHIO,39.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177.0
2024,YEAR,STATE,OKLAHOMA,40.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,98.0
2024,YEAR,STATE,OREGON,41.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,208.0
2024,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0.0
2024,YEAR,STATE,PENNSYLVANIA,42.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,138.0
2024,YEAR,STATE,SOUTH CAROLINA,45.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,101.0
2024,YEAR,STATE,SOUTH DAKOTA,46.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164.0
2024,YEAR,STATE,TENNESSEE,47.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.0
2024,YEAR,STATE,TEXAS,48.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112.0
2024,YEAR,STATE,UTAH,49.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.0
2024,YEAR,STATE,VIRGINIA,51.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.0
2024,YEAR,STATE,WASHINGTON,53.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,235.0
2024,YEAR,STATE,WEST VIRGINIA,54.0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110.0
