state,scenario,year,cooling_degree_days_proxy_annual
Alabama,ssp126,2020,750.6697109108902
Alabama,ssp126,2021,1259.5188927859253
Alabama,ssp126,2022,932.265072440442
Alabama,ssp126,2023,848.978438135437
Alabama,ssp126,2024,1106.5389452301088
Alabama,ssp126,2025,1098.7110780658004
Alabama,ssp126,2026,850.3772777840676
Alabama,ssp126,2027,807.8010070714123
Alabama,ssp126,2028,785.5382243466487
Alabama,ssp126,2029,1045.2373244815662
Alabama,ssp126,2030,764.2488355033165
Alabama,ssp126,2031,790.9752485945589
Alabama,ssp126,2032,1080.882853499068
Alabama,ssp126,2033,771.672297329854
Alabama,ssp126,2034,901.4323112841087
Alabama,ssp126,2035,723.6157427170747
Alabama,ssp126,2036,759.4527059868117
Alabama,ssp126,2037,870.0761211171504
Alabama,ssp126,2038,857.6628576230354
Alabama,ssp126,2039,933.3863494431857
Alabama,ssp126,2040,868.8489686836324
Alabama,ssp126,2041,965.520988375231
Alabama,ssp126,2042,1105.6168157758648
Alabama,ssp126,2043,878.2694009979209
Alabama,ssp126,2044,872.1110109569927
Alabama,ssp126,2045,868.893777364905
Alabama,ssp126,2046,1138.941061138116
Alabama,ssp126,2047,917.190240924762
Alabama,ssp126,2048,885.8435217082869
Alabama,ssp126,2049,1068.927511119039
Alabama,ssp126,2050,1082.5473209031425
Alabama,ssp126,2051,1000.1086173364795
Alabama,ssp126,2052,891.8217890698725
Alabama,ssp126,2053,1131.268638457786
Alabama,ssp126,2054,892.2412272398741
Alabama,ssp126,2055,840.2343040262945
Alabama,ssp126,2056,924.6211846629487
Alabama,ssp126,2057,959.0295613048636
Alabama,ssp126,2058,916.7692025829836
Alabama,ssp126,2059,956.8145884318288
Alabama,ssp126,2060,804.2577265611741
Alabama,ssp126,2061,736.2285372241613
Alabama,ssp126,2062,899.3197421875468
Alabama,ssp126,2063,1015.847275002339
Alabama,ssp126,2064,844.3859223857859
Alabama,ssp126,2065,979.8627497861185
Alabama,ssp126,2066,951.6276887100875
Alabama,ssp126,2067,799.1435012585797
Alabama,ssp126,2068,820.799321683651
Alabama,ssp126,2069,839.4349994075219
Alabama,ssp126,2070,957.4987224823582
Alabama,ssp126,2071,839.3354401396646
Alabama,ssp126,2072,1031.6177208562942
Alabama,ssp126,2073,765.5700889277739
Alabama,ssp126,2074,970.9534456336255
Alabama,ssp126,2075,954.1078385152136
Alabama,ssp126,2076,763.0199799572464
Alabama,ssp126,2077,958.2724940248231
Alabama,ssp126,2078,966.4010335112146
Alabama,ssp126,2079,865.2777764597831
Alabama,ssp126,2080,1179.9668992321306
Alabama,ssp126,2081,859.0607356911436
Alabama,ssp126,2082,886.2592613176624
Alabama,ssp126,2083,871.4785793609587
Alabama,ssp126,2084,802.807695988023
Alabama,ssp126,2085,1036.7490017655666
Alabama,ssp126,2086,1034.3596396407293
Alabama,ssp126,2087,957.5716425419819
Alabama,ssp126,2088,1012.2671873740177
Alabama,ssp126,2089,940.3549514048639
Alabama,ssp126,2090,948.9722808428153
Alabama,ssp126,2091,884.1108521487247
Alabama,ssp126,2092,917.7075782026164
Alabama,ssp126,2093,918.3001662991985
Alabama,ssp126,2094,914.6823345959145
Alabama,ssp126,2095,855.2207340435409
Alabama,ssp126,2096,836.6793575604845
Alabama,ssp126,2097,835.3505001895664
Alabama,ssp126,2098,918.6770417638078
Alabama,ssp126,2099,799.9388223242913
Alabama,ssp126,2100,865.0092429174902
Alabama,ssp245,2020,784.6373408925815
Alabama,ssp245,2021,767.6303328102307
Alabama,ssp245,2022,824.4022575387182
Alabama,ssp245,2023,856.0835078099402
Alabama,ssp245,2024,817.0809117634585
Alabama,ssp245,2025,974.15036576357
Alabama,ssp245,2026,895.1619683746682
Alabama,ssp245,2027,1134.2899246593854
Alabama,ssp245,2028,802.8334895321237
Alabama,ssp245,2029,892.153871000053
Alabama,ssp245,2030,915.4752805628437
Alabama,ssp245,2031,953.9968640934212
Alabama,ssp245,2032,846.0053539825808
Alabama,ssp245,2033,906.8437100521982
Alabama,ssp245,2034,964.707727640656
Alabama,ssp245,2035,839.5840533310301
Alabama,ssp245,2036,909.4829008282246
